frame,time_s,nose_x,nose_y,l_eye_x,l_eye_y,r_eye_x,r_eye_y,l_ear_x,l_ear_y,r_ear_x,r_ear_y,l_shoulder_x,l_shoulder_y,r_shoulder_x,r_shoulder_y,l_elbow_x,l_elbow_y,r_elbow_x,r_elbow_y,l_wrist_x,l_wrist_y,r_wrist_x,r_wrist_y,l_hip_x,l_hip_y,r_hip_x,r_hip_y,l_knee_x,l_knee_y,r_knee_x,r_knee_y,l_ankle_x,l_ankle_y,r_ankle_x,r_ankle_y
30,0.9999967506092607,782.572265625,181.68215942382812,791.259033203125,172.02120971679688,771.0010986328125,171.80691528320312,804.1827392578125,181.90147399902344,754.83935546875,182.89743041992188,838.9232177734375,251.28451538085938,727.3399047851562,248.33421325683594,860.2666625976562,332.0389099121094,708.6690673828125,334.4168701171875,807.1146240234375,320.3778076171875,773.6434326171875,319.9638977050781,812.0368041992188,394.2125549316406,743.1730346679688,386.81866455078125,781.4667358398438,517.083251953125,743.0070190429688,484.9169006347656,764.8511352539062,650.2145385742188,771.0978393554688,593.5457153320312
31,1.0333299756295695,783.4205932617188,181.40374755859375,792.253662109375,171.93624877929688,771.9091186523438,171.4137420654297,805.0042724609375,182.2299041748047,755.2380981445312,182.45713806152344,839.1586303710938,251.68402099609375,726.9530029296875,248.26223754882812,860.0944213867188,331.65155029296875,708.4521484375,334.0880126953125,807.1780395507812,319.9895324707031,773.8724975585938,319.4598388671875,812.5614013671875,394.0261535644531,743.2870483398438,386.4223937988281,781.5103759765625,516.5393676757812,742.0887451171875,483.714599609375,764.5150146484375,649.4666137695312,771.0892333984375,592.025146484375
32,1.0666632006498782,784.3027954101562,182.1041717529297,793.013916015625,172.48757934570312,772.7000732421875,172.0935516357422,805.580078125,182.4339599609375,755.860107421875,182.97023010253906,839.4586181640625,251.6553955078125,727.3291625976562,248.4545135498047,859.681640625,331.86981201171875,708.4168701171875,334.70849609375,808.0171508789062,319.9698181152344,773.4037475585938,318.7290954589844,812.2673950195312,394.082763671875,742.8876953125,386.4896240234375,781.5418701171875,516.228759765625,741.3027954101562,482.6881103515625,765.3260498046875,649.292724609375,770.3392333984375,590.382568359375
33,1.0999964256701869,784.73291015625,182.37229919433594,793.4578857421875,172.8074951171875,773.1456298828125,172.29287719726562,805.9215698242188,182.81236267089844,756.0477294921875,183.0285186767578,839.5902709960938,251.8495330810547,727.4379272460938,248.05572509765625,859.564697265625,332.201416015625,708.4841918945312,334.5108642578125,808.6361694335938,318.98370361328125,772.6368408203125,318.04864501953125,812.6326293945312,393.8971252441406,742.9773559570312,385.85455322265625,781.1825561523438,516.2534790039062,739.5186767578125,481.2242126464844,766.03173828125,649.91357421875,769.1754150390625,588.8251342773438
34,1.1333296506904955,785.5326538085938,182.4096221923828,794.1217041015625,172.8491973876953,773.8399658203125,172.46713256835938,806.2421264648438,182.8279571533203,756.3463745117188,183.2750244140625,839.2791137695312,251.77752685546875,727.5755615234375,248.4728546142578,860.031005859375,331.9090881347656,707.5776977539062,334.564697265625,808.8193969726562,318.92266845703125,771.555419921875,318.3819885253906,812.7239379882812,393.8393859863281,743.8031005859375,386.53912353515625,781.5386352539062,516.5130615234375,743.0079345703125,484.7184143066406,763.7703247070312,649.83935546875,771.1773681640625,594.0050048828125
35,1.1666628757108042,785.46435546875,182.40499877929688,794.139404296875,172.88316345214844,773.749755859375,172.52267456054688,806.4703369140625,183.07362365722656,756.4625854492188,183.5811309814453,839.5526123046875,252.0976104736328,727.6984252929688,248.6673583984375,859.7485961914062,332.088134765625,707.7847290039062,334.2646484375,809.1609497070312,318.7408447265625,771.996826171875,317.2587890625,812.5617065429688,394.2291259765625,743.367919921875,386.829833984375,781.8743896484375,516.9561767578125,742.1119995117188,484.7067565917969,764.7762451171875,649.62646484375,770.293701171875,593.0471801757812
36,1.1999961007311128,785.5770874023438,182.20272827148438,794.2459106445312,172.69068908691406,773.8603515625,172.33045959472656,806.5158081054688,182.9292449951172,756.5025634765625,183.41421508789062,839.5885009765625,251.95257568359375,727.5748901367188,248.70115661621094,859.9188232421875,331.90753173828125,707.967041015625,334.2716064453125,809.0518188476562,319.6727294921875,773.6071166992188,317.64727783203125,812.8538208007812,394.08819580078125,743.6043701171875,386.9110107421875,782.3575439453125,516.8487548828125,742.7327270507812,485.3778381347656,764.574951171875,649.5944213867188,770.5650024414062,594.1483154296875
37,1.2333293257514215,785.284912109375,182.22018432617188,793.8963012695312,172.65252685546875,773.5465087890625,172.34588623046875,806.1708374023438,182.741943359375,756.2861938476562,183.36781311035156,839.6767578125,251.8431854248047,727.4596557617188,248.69825744628906,860.049560546875,331.8327331542969,708.3917846679688,333.9529724121094,809.1702270507812,321.3550109863281,774.8360595703125,317.95697021484375,812.8546752929688,394.3904724121094,743.5492553710938,387.1839904785156,782.048095703125,517.0062866210938,742.5342407226562,485.26837158203125,763.81396484375,649.58349609375,770.0750732421875,593.5582885742188
38,1.2666625507717302,785.2864379882812,181.8697509765625,793.3804931640625,172.22116088867188,773.63134765625,171.93780517578125,805.3920288085938,183.68470764160156,755.4962768554688,182.77532958984375,841.5075073242188,252.9197540283203,725.2415771484375,247.0498046875,860.9164428710938,332.5828552246094,707.491943359375,331.93109130859375,807.9680786132812,323.84661865234375,774.0445556640625,320.44140625,816.2391967773438,396.95751953125,742.7611694335938,389.5419921875,785.3974609375,520.3633422851562,743.0983276367188,490.1218566894531,767.8391723632812,649.0111083984375,769.3925170898438,593.4183959960938
39,1.2999957757920388,785.0197143554688,182.24192810058594,793.1541137695312,172.5688018798828,773.3732299804688,172.25645446777344,805.2634887695312,183.95591735839844,755.213134765625,183.0417938232422,841.9347534179688,253.03858947753906,724.9080810546875,247.38589477539062,861.4646606445312,332.6803283691406,707.426513671875,332.55718994140625,808.6094970703125,324.40777587890625,772.808837890625,320.5872497558594,816.5994262695312,396.98675537109375,742.5323486328125,389.36602783203125,785.4224853515625,519.5026245117188,741.3756103515625,487.8235168457031,768.9225463867188,647.7921142578125,768.8534545898438,589.7406005859375
