frame,time_s,nose_x,nose_y,l_eye_x,l_eye_y,r_eye_x,r_eye_y,l_ear_x,l_ear_y,r_ear_x,r_ear_y,l_shoulder_x,l_shoulder_y,r_shoulder_x,r_shoulder_y,l_elbow_x,l_elbow_y,r_elbow_x,r_elbow_y,l_wrist_x,l_wrist_y,r_wrist_x,r_wrist_y,l_hip_x,l_hip_y,r_hip_x,r_hip_y,l_knee_x,l_knee_y,r_knee_x,r_knee_y,l_ankle_x,l_ankle_y,r_ankle_x,r_ankle_y,pred_label,pred_conf
21,0.6999982885085575,797.2671508789062,231.338623046875,806.1882934570312,223.3838653564453,787.1458740234375,222.8980255126953,816.583984375,230.56141662597656,768.134765625,228.8556671142578,829.8701782226562,295.0707702636719,746.9486694335938,292.5567932128906,847.2201538085938,369.7952270507813,730.9229125976562,364.5874633789063,837.419677734375,430.5379333496094,744.1416015625,431.49505615234375,814.646240234375,439.4185485839844,762.9423828125,438.89739990234375,803.5536499023438,540.8781127929688,762.5064697265625,544.2508544921875,786.186767578125,629.8057250976562,763.6985473632812,640.8828125,Vrikshasana,0.61912966
22,0.7333315403422983,797.4078369140625,231.24560546875,806.22314453125,223.31155395507807,787.3152465820312,222.8311920166016,816.4338989257812,230.4759521484375,768.282470703125,228.77891540527344,829.8228149414062,294.9851989746094,746.9322509765625,292.2903137207031,847.2099609375,369.9798583984375,730.642822265625,364.3030395507813,837.5690307617188,431.009521484375,743.5271606445312,431.3276977539063,814.4420776367188,439.2729187011719,762.8173828125,438.6188049316406,803.172607421875,541.022216796875,762.4722290039062,543.9478759765625,785.8396606445312,630.1104125976562,763.71044921875,640.4600830078125,Vrikshasana,0.61369354
23,0.7666647921760391,797.2791748046875,232.04653930664065,805.9743041992188,224.1234893798828,787.2886352539062,223.751220703125,816.4066162109375,230.9878692626953,769.0492553710938,229.6831512451172,830.8441162109375,294.15362548828125,748.4093627929688,292.69732666015625,848.426513671875,369.1061096191406,732.7841796875,366.2005615234375,837.7362670898438,429.6101379394531,746.78271484375,430.3771362304688,814.7090454101562,437.98583984375,763.5720825195312,438.0237426757813,803.7255249023438,540.6930541992188,762.3289794921875,544.8622436523438,785.44970703125,631.018798828125,763.0821533203125,640.8977661132812,Vrikshasana,0.6079255
24,0.7999980440097799,797.6986083984375,233.020751953125,806.5215454101562,224.9019317626953,787.6866455078125,224.5646514892578,817.345947265625,231.3185577392578,769.8790283203125,230.1495819091797,831.5232543945312,294.33087158203125,749.9395141601562,293.04693603515625,848.12255859375,369.39300537109375,733.9047241210938,366.6724243164063,837.8134155273438,430.2247924804688,747.9833984375,430.15716552734375,815.509033203125,438.1912841796875,764.85009765625,438.3031921386719,804.6886596679688,541.1250610351562,763.6142578125,545.47998046875,785.7490844726562,631.4837036132812,763.0822143554688,641.4944458007812,Vrikshasana,0.601744
25,0.8333312958435207,800.5709228515625,234.11865234375,808.9780883789062,225.95013427734372,790.572265625,225.62632751464844,818.8238525390625,232.2823028564453,771.8983154296875,231.0795440673828,832.3988037109375,295.5128479003906,751.1690673828125,293.5267333984375,848.6340942382812,371.112548828125,734.5864868164062,366.1718444824219,837.1463623046875,433.3013305664063,748.7432250976562,429.1962890625,815.9805297851562,438.671875,765.4893798828125,438.5250549316406,805.5592041015625,541.92822265625,764.4616088867188,546.2291259765625,786.2457275390625,631.8409423828125,762.5641479492188,641.6636962890625,Vrikshasana,0.59499097
26,0.8666645476772616,800.5581665039062,233.98899841308597,809.1525268554688,225.8324279785156,790.5006713867188,225.41017150878903,819.2906494140625,232.2631072998047,771.8026123046875,230.85763549804688,832.6206665039062,295.7326965332031,751.137451171875,293.5124206542969,848.478271484375,371.3245544433594,734.4500732421875,366.1492004394531,837.26708984375,433.4255065917969,748.772705078125,429.1726989746094,816.0264892578125,438.933837890625,765.3562622070312,438.6969909667969,805.833251953125,542.509521484375,764.4692993164062,546.6701049804688,786.0964965820312,632.0830688476562,762.4345092773438,641.8253173828125,Vrikshasana,0.5875965
27,0.8999977995110024,801.5655517578125,233.77040100097656,810.1754150390625,225.6891326904297,791.4512939453125,225.3560028076172,820.4390869140625,232.4092559814453,773.040283203125,231.19515991210935,833.4003295898438,296.2373046875,752.499755859375,293.25054931640625,848.2161254882812,371.9333801269531,734.5615844726562,364.6514892578125,838.2761840820312,433.677978515625,747.82177734375,427.25140380859375,815.7692260742188,437.7849731445313,765.506103515625,437.21380615234375,806.090576171875,540.9406127929688,765.0607299804688,544.6832275390625,786.5567016601562,630.7927856445312,762.40673828125,640.45947265625,Vrikshasana,0.57943845
28,0.9333310513447431,802.0458984375,233.86582946777344,810.5859985351562,225.8332977294922,792.0113525390625,225.4224395751953,820.6786499023438,232.4922332763672,773.5664672851562,231.1099548339844,833.3741455078125,296.0451965332031,752.933837890625,292.7631225585937,848.0309448242188,371.91888427734375,734.995361328125,364.2171630859375,838.8885498046875,434.08099365234375,747.6812133789062,426.8124084472656,815.5211181640625,436.505859375,765.4984130859375,435.7508544921875,806.4589233398438,539.2684936523438,765.089599609375,542.4866943359375,786.9237060546875,629.8626708984375,761.9512329101562,638.880126953125,Vrikshasana,0.5704531
29,0.966664303178484,801.8574829101562,234.7312164306641,810.654296875,226.5939483642578,791.864990234375,226.13037109375,821.2628173828125,232.80108642578125,773.7598266601562,231.27700805664065,833.7683715820312,295.9663391113281,753.417236328125,292.5644226074219,848.5018310546875,371.7702026367188,735.2276611328125,364.05224609375,840.4566650390625,433.463134765625,747.5964965820312,426.5534057617188,815.5145263671875,436.6495361328125,765.5630493164062,435.821533203125,806.10009765625,538.8404541015625,764.9280395507812,541.9140625,786.8204345703125,628.7976684570312,762.244140625,637.6119995117188,Vrikshasana,0.5606218
30,0.9999975550122248,801.4950561523438,234.68280029296875,810.3831176757812,226.5877990722656,791.5595703125,226.13705444335935,821.2020874023438,232.87887573242188,773.8099975585938,231.36175537109372,833.81591796875,295.98211669921875,753.734619140625,292.5852355957031,848.7734985351562,371.6077270507813,735.0928344726562,363.7842102050781,841.6209106445312,433.5211791992188,747.3875732421875,426.3358154296875,815.793701171875,436.8790893554688,766.081787109375,436.0797424316406,805.2018432617188,538.9686279296875,764.6414184570312,542.32861328125,786.185791015625,628.7841186523438,762.2587280273438,637.9221801757812,Vrikshasana,0.55023396
31,1.0333308068459657,801.6115112304688,234.4360809326172,810.4061889648438,226.40582275390625,791.6011962890625,225.96881103515625,821.139404296875,232.90008544921875,773.794189453125,231.46592712402344,833.6422119140625,296.1820068359375,753.9876708984375,292.6188049316406,848.1619873046875,371.3857727050781,734.9927978515625,363.3273010253906,841.9161987304688,433.0090637207031,746.8944091796875,426.3200378417969,815.9077758789062,436.3165588378906,766.55078125,435.41900634765625,804.7885131835938,538.158935546875,765.1218872070312,541.130126953125,785.5238037109375,627.8372192382812,762.4419555664062,636.2860107421875,Vrikshasana,0.5323635
32,1.0666640586797065,801.396728515625,234.1353912353516,810.2505493164062,226.11663818359372,791.1029052734375,225.9937896728516,820.9512939453125,232.8436737060547,772.6063842773438,232.1501007080078,832.310302734375,295.5491943359375,753.2305297851562,292.8054504394531,846.6747436523438,370.3997802734375,733.545166015625,362.0863952636719,843.1812744140625,431.1661071777344,745.6075439453125,423.5105895996094,816.947509765625,436.54876708984375,767.3362426757812,435.9182434082031,805.0980224609375,537.6593017578125,767.3486328125,540.6119995117188,788.2821044921875,625.702880859375,763.8409423828125,634.64453125,Vrikshasana,0.51341426
33,1.0999973105134475,800.8731689453125,233.97219848632807,809.6648559570312,226.14816284179688,790.9743041992188,225.7199249267578,820.249267578125,233.257080078125,773.346435546875,231.7590484619141,832.8642578125,296.8832397460937,753.2448120117188,293.3529663085937,847.85009765625,371.0983276367188,733.7371826171875,362.9172058105469,841.9188842773438,432.4582214355469,746.4757080078125,425.40728759765625,816.0918579101562,435.7462768554688,766.969482421875,435.1046752929688,804.4796752929688,536.2190551757812,765.6864624023438,540.1126708984375,785.8519287109375,624.2689819335938,764.497314453125,634.24560546875,Tadasana,0.50450236
34,1.1333305623471883,800.9552612304688,234.149658203125,809.8099975585938,226.107421875,790.60107421875,226.13389587402344,820.5853271484375,232.90391540527344,772.1879272460938,232.49110412597656,831.9788208007812,295.5849609375,752.9463500976562,293.0938415527344,846.242919921875,369.7984008789063,732.8623657226562,361.6947937011719,843.2401733398438,430.4323425292969,745.4935302734375,423.1349792480469,817.1719970703125,435.7679748535156,767.6952514648438,435.4254760742188,805.4569702148438,535.8670043945312,768.3933715820312,539.57080078125,788.568603515625,622.7630004882812,765.2706298828125,632.9392700195312,Tadasana,0.52572495
35,1.1666638141809291,801.5518188476562,234.3075714111328,810.0123291015625,226.3211975097656,791.2867431640625,226.3434295654297,819.7999267578125,233.08106994628903,772.19091796875,232.58444213867188,830.8582153320312,295.5214538574219,752.2869262695312,293.0443420410156,845.7537231445312,369.5765686035156,732.4042358398438,362.1896667480469,843.088134765625,429.81292724609375,744.6527099609375,424.6755065917969,816.6766357421875,435.6890258789063,767.44970703125,435.3724670410156,804.8907470703125,535.8065185546875,767.9102783203125,539.3394775390625,788.707763671875,623.9532470703125,764.9429321289062,633.8384399414062,Tadasana,0.5474738
36,1.19999706601467,799.78759765625,234.1369171142578,808.6754760742188,226.19639587402344,789.64306640625,226.10504150390625,819.2701416015625,233.05067443847656,771.3634643554688,232.2366180419922,830.725830078125,295.7134704589844,751.6983642578125,293.0495910644531,845.5478515625,369.6906127929688,731.8695678710938,362.0495300292969,842.8601684570312,430.1463012695313,744.0111083984375,425.0052795410156,816.6898193359375,436.8599243164063,767.2476806640625,436.5044555664063,805.0533447265625,536.5545654296875,767.8402099609375,540.08984375,789.2902221679688,623.99267578125,766.238037109375,634.3334350585938,Tadasana,0.5694975
37,1.2333303178484107,797.9419555664062,233.9104766845703,806.91552734375,225.88531494140625,787.7207641601562,225.9706573486328,818.0311889648438,232.7751617431641,770.0390625,232.345947265625,830.3865356445312,295.8705749511719,750.7303466796875,293.15625,845.6336059570312,370.0069580078125,730.4160766601562,361.7586975097656,843.0084228515625,430.1980590820313,742.3419799804688,425.100341796875,815.924560546875,437.7218017578125,766.1836547851562,437.2800903320313,804.214599609375,537.40673828125,767.0064086914062,540.673583984375,788.8001708984375,624.7222900390625,765.7191162109375,634.7494506835938,Tadasana,0.59145176
38,1.2666635696821515,796.1182861328125,233.06126403808597,805.091796875,225.0707855224609,785.8311767578125,225.2621307373047,816.2349243164062,232.2796936035156,768.1192626953125,232.1077117919922,828.8758544921875,295.6171569824219,748.8519287109375,293.325927734375,844.5046997070312,369.5482177734375,728.1637573242188,361.9377136230469,842.4199829101562,429.8612060546875,737.5833129882812,425.528076171875,814.39013671875,437.9047546386719,764.5316162109375,437.6232604980469,803.1922607421875,537.0914916992188,765.9043579101562,540.186279296875,788.9725952148438,624.3517456054688,766.1013793945312,634.0288696289062,Tadasana,0.613241
39,1.2999968215158924,796.0317993164062,233.0402069091797,804.7601318359375,225.14111328125,785.790283203125,225.24777221679688,815.05517578125,232.3126220703125,767.1253051757812,231.88731384277344,826.9600219726562,295.1412048339844,747.3186645507812,293.0047912597656,843.1492919921875,368.4791564941406,727.0116577148438,361.5601501464844,841.7391967773438,429.247314453125,735.5694580078125,425.318115234375,813.2910766601562,437.1516418457031,763.7479858398438,437.031982421875,801.9696655273438,536.748291015625,765.4403076171875,539.9169311523438,788.288818359375,624.222412109375,766.6729125976562,633.7412719726562,Tadasana,0.6347066
40,1.3333300733496332,794.8466186523438,232.68994140625,803.9302368164062,224.9213104248047,784.8119506835938,224.7678985595703,814.7097778320312,232.12591552734372,766.5694580078125,231.0430145263672,826.2528686523438,294.8054504394531,746.4276733398438,292.0174865722656,842.2178344726562,368.1163330078125,726.014404296875,360.8561706542969,840.9713134765625,428.1957092285156,734.3303833007812,425.8185424804688,812.0153198242188,436.6648254394531,762.3374633789062,436.2743835449219,801.4328002929688,536.538330078125,764.2977905273438,539.165771484375,788.5128173828125,623.799560546875,766.756591796875,633.0982666015625,Tadasana,0.65556705
41,1.366663325183374,794.7031860351562,232.39279174804688,803.4107055664062,224.6433563232422,784.5751953125,224.55926513671875,813.357666015625,232.01486206054688,765.3948364257812,230.99029541015625,824.794189453125,294.966064453125,744.8687133789062,291.9226989746094,841.55712890625,368.3486633300781,724.779541015625,360.0661926269531,840.8492431640625,428.85736083984375,733.3922729492188,425.00775146484375,811.6575317382812,436.3515625,762.0323486328125,435.9714050292969,800.4027709960938,536.5045166015625,764.2273559570312,539.048583984375,787.822021484375,623.4600830078125,767.3345947265625,632.3246459960938,Tadasana,0.6758405
42,1.399996577017115,794.4865112304688,231.72653198242188,803.0428466796875,224.0112762451172,784.345458984375,223.945068359375,812.4920043945312,231.746337890625,764.619384765625,230.69363403320312,823.4725952148438,295.0935363769531,743.1011352539062,291.762451171875,840.3201904296875,368.19671630859375,722.717041015625,359.4117431640625,840.1509399414062,428.5885314941406,733.3434448242188,424.4571838378906,810.0399169921875,436.0303955078125,760.079833984375,435.7015380859375,799.5951538085938,535.8483276367188,762.8756103515625,538.4168090820312,788.066162109375,623.6804809570312,766.5823364257812,632.2842407226562,Tadasana,0.6954962
43,1.4333298288508558,793.3810424804688,231.97373962402344,801.763427734375,224.24966430664065,783.3438720703125,224.32647705078125,810.905029296875,231.93431091308597,763.8364868164062,231.23130798339844,822.0853271484375,294.8124389648437,741.9330444335938,292.2367858886719,839.2417602539062,366.702880859375,721.1323852539062,358.95074462890625,839.3326416015625,426.646728515625,733.6559448242188,421.4131164550781,808.7344360351562,436.2264709472656,758.871826171875,436.4090881347656,799.4154663085938,535.5076904296875,762.3060302734375,539.1929321289062,788.2750854492188,623.2128295898438,765.5485229492188,632.8634033203125,Tadasana,0.7146374
